<,rank,date,main_artist,featured_artist_1,featured_artist_2,featured_artist_3,song,semanas_en_rank,peak_rank,artist_full,popularity,duration_ms,explicit,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cantidad_de_features
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,1,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,0,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,0,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,0,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,0,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,0,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,0,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,25,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,31,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,27,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,0,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,0,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
1243968,68,01/05/2021,Justin Bieber,,,,Anyone,17,6,Justin Bieber,0,190779,no,01/01/2021,0.686,0.538,-8.026,0.0345,0.181,3.13E-06,0.113,0.584,115.884,1
